id_deudor,segmento,producto,departamento,tramo_mora,dias_mora,monto_deuda,score_buro,contactabilidad,probpago,decil,segmento_propension,estrategia,descuento_recomendado,plan_cuotas,canal_recomendado,valor_esperado_recupero,prioridad,pago,guion
KB-101622,Retail,Tarjeta de crédito,Montevideo,1-30,15,14470.0,715,0.786,0.9262,9,Alta,Recordatorio suave,0.0,1,WhatsApp,13402.7123,7543,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 14,470 (ref. KB-101622). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-101623,Pyme,Tarjeta de crédito,Montevideo,180+,406,535420.0,553,0.384,0.0335,1,Baja,Derivación a gestión especializada,0.15,12,Llamada,15268.5549,7124,0,"Hola, le escribimos de su gestor de cobranzas. Su caso (ref. KB-101623, saldo $U 535,420) fue asignado a un gestor especializado que puede estructurar un plan de hasta 12 cuotas. Le contactaremos para encontrar la mejor solución."
KB-101624,Retail,Tarjeta de crédito,Canelones,31-60,51,24430.0,412,0.575,0.1891,2,Baja,Quita agresiva por pago único,0.3,1,Llamada,3234.2691,10472,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 17,101 (30% de descuento sobre $U 24,430) cancela toda su deuda. Es por tiempo limitado."
KB-101625,Retail,Préstamo personal,Rivera,180+,185,68000.0,747,0.805,0.8785,8,Alta,Pago total facilitado,0.05,1,WhatsApp,56750.6494,2780,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 68,000. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 64,600. ¿Coordinamos el pago?"
KB-101626,Retail,Cuenta corriente,Montevideo,1-30,9,19020.0,590,0.693,0.9226,9,Alta,Recordatorio suave,0.0,1,Llamada,17547.094,6646,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 19,020 (ref. KB-101626). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-101627,Pyme,Cuenta corriente,Colonia,31-60,49,131890.0,603,0.374,0.8584,8,Alta,Pago total facilitado,0.05,1,Llamada,107554.6431,1594,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 131,890. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 125,296. ¿Coordinamos el pago?"
KB-101628,Retail,Cuenta corriente,Montevideo,31-60,46,27780.0,554,0.946,0.5352,5,Media,Plan de cuotas,0.1,3,WhatsApp,13380.5216,7547,0,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 27,780 en 3 cuotas de $U 8,334 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-101629,Retail,Tarjeta de crédito,Canelones,1-30,24,18260.0,623,0.729,0.9607,10,Alta,Recordatorio suave,0.0,1,WhatsApp,17542.918,6648,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 18,260 (ref. KB-101629). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-101630,Retail,Tarjeta de crédito,Montevideo,91-180,140,26520.0,289,0.428,0.0118,1,Baja,Descuento máximo / cierre de cuenta,0.45,1,WhatsApp,171.4533,11989,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 14,586 (45% de descuento sobre $U 26,520) cancela toda su deuda. Es por tiempo limitado."
KB-101631,Retail,Crédito automotor,Soriano,1-30,16,18820.0,570,0.56,0.7051,6,Alta,Recordatorio suave,0.0,1,Email,13269.9152,7568,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 18,820 (ref. KB-101631). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-101632,Retail,Microcrédito,Montevideo,1-30,19,36010.0,534,0.803,0.6259,5,Media,Plan de cuotas,0.1,3,SMS,20283.594,6120,1,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 36,010 en 3 cuotas de $U 10,803 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-101633,Retail,Préstamo personal,Montevideo,31-60,56,10970.0,527,0.574,0.8996,8,Alta,Pago total facilitado,0.05,1,WhatsApp,9375.5117,8547,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 10,970. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 10,422. ¿Coordinamos el pago?"
KB-101634,Pyme,Crédito automotor,Canelones,1-30,21,119820.0,250,0.354,0.0765,1,Baja,Quita agresiva por pago único,0.3,1,Email,6415.9683,9397,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 83,874 (30% de descuento sobre $U 119,820) cancela toda su deuda. Es por tiempo limitado."
KB-101635,Retail,Financiación retail,Canelones,31-60,47,17790.0,686,0.48,0.9417,9,Alta,Pago total facilitado,0.05,1,WhatsApp,15915.3789,6984,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 17,790. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 16,900. ¿Coordinamos el pago?"
KB-101636,Retail,Tarjeta de crédito,Canelones,91-180,101,28210.0,515,0.556,0.3477,3,Baja,Descuento máximo / cierre de cuenta,0.45,1,WhatsApp,5394.6187,9725,1,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 15,516 (45% de descuento sobre $U 28,210) cancela toda su deuda. Es por tiempo limitado."
KB-101637,Pyme,Tarjeta de crédito,Canelones,1-30,0,119270.0,526,0.598,0.9096,8,Alta,Recordatorio suave,0.0,1,Email,108488.4701,1585,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 119,270 (ref. KB-101637). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-101638,Corporativo,Financiación retail,Montevideo,31-60,45,202600.0,568,0.118,0.6996,6,Alta,Pago total facilitado,0.05,1,Llamada,134651.0453,1254,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 202,600. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 192,470. ¿Coordinamos el pago?"
KB-101639,Retail,Financiación retail,Canelones,180+,209,6690.0,418,0.25,0.0708,1,Baja,Descuento máximo / cierre de cuenta,0.45,1,SMS,260.5982,11956,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 3,680 (45% de descuento sobre $U 6,690) cancela toda su deuda. Es por tiempo limitado."
KB-101640,Retail,Tarjeta de crédito,San José,31-60,41,24090.0,460,0.776,0.5007,4,Media,Plan de cuotas,0.1,3,WhatsApp,10856.5335,8166,0,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 24,090 en 3 cuotas de $U 7,227 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-101641,Retail,Préstamo personal,Maldonado,1-30,26,6540.0,790,0.305,0.9705,10,Alta,Recordatorio suave,0.0,1,SMS,6347.3272,9423,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 6,540 (ref. KB-101641). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-101642,Corporativo,Préstamo personal,Montevideo,180+,274,817130.0,506,0.429,0.1308,2,Baja,Derivación a gestión especializada,0.15,12,Llamada,90852.8045,1864,0,"Hola, le escribimos de su gestor de cobranzas. Su caso (ref. KB-101642, saldo $U 817,130) fue asignado a un gestor especializado que puede estructurar un plan de hasta 12 cuotas. Le contactaremos para encontrar la mejor solución."
KB-101643,Pyme,Préstamo personal,Montevideo,1-30,20,90380.0,592,0.467,0.8699,8,Alta,Recordatorio suave,0.0,1,WhatsApp,78618.0815,2116,0,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 90,380 (ref. KB-101643). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-101644,Retail,Financiación retail,Maldonado,31-60,56,58260.0,732,0.637,0.9491,9,Alta,Pago total facilitado,0.05,1,WhatsApp,52531.0669,2973,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 58,260. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 55,347. ¿Coordinamos el pago?"
KB-101645,Retail,Financiación retail,Paysandú,91-180,166,9290.0,626,0.33,0.7928,7,Alta,Pago total facilitado,0.05,1,WhatsApp,6997.1595,9223,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 9,290. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 8,826. ¿Coordinamos el pago?"
KB-101646,Retail,Tarjeta de crédito,Montevideo,1-30,16,24900.0,673,0.616,0.973,10,Alta,Recordatorio suave,0.0,1,WhatsApp,24227.7709,5455,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 24,900 (ref. KB-101646). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-101647,Retail,Préstamo personal,Montevideo,91-180,98,10100.0,675,0.163,0.8714,8,Alta,Pago total facilitado,0.05,1,WhatsApp,8361.3669,8816,0,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 10,100. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 9,595. ¿Coordinamos el pago?"
KB-101648,Retail,Tarjeta de crédito,Maldonado,1-30,21,14260.0,649,0.755,0.9151,9,Alta,Recordatorio suave,0.0,1,Llamada,13048.6272,7607,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 14,260 (ref. KB-101648). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-101649,Pyme,Microcrédito,Canelones,91-180,178,272370.0,602,0.655,0.2675,3,Baja,Descuento máximo / cierre de cuenta,0.45,1,WhatsApp,40075.6392,3740,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 149,804 (45% de descuento sobre $U 272,370) cancela toda su deuda. Es por tiempo limitado."
KB-101650,Retail,Tarjeta de crédito,Maldonado,91-180,143,51310.0,518,0.42,0.2727,3,Baja,Descuento máximo / cierre de cuenta,0.45,1,Llamada,7695.4561,9011,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 28,221 (45% de descuento sobre $U 51,310) cancela toda su deuda. Es por tiempo limitado."
KB-101651,Pyme,Crédito automotor,Montevideo,91-180,109,156590.0,541,0.433,0.5658,5,Media,Plan de cuotas + quita moderada,0.2,6,Llamada,70879.543,2331,0,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 156,590 en 6 cuotas de $U 20,879 con 20% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-101652,Retail,Tarjeta de crédito,Montevideo,61-90,69,17400.0,779,0.72,0.9702,10,Alta,Pago total facilitado,0.05,1,WhatsApp,16037.4133,6964,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 17,400. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 16,530. ¿Coordinamos el pago?"
KB-101653,Retail,Microcrédito,Montevideo,61-90,64,40990.0,683,0.234,0.4932,4,Media,Plan de cuotas,0.1,3,WhatsApp,18193.3729,6513,1,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 40,990 en 3 cuotas de $U 12,297 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-101654,Retail,Préstamo personal,Rocha,1-30,20,14350.0,641,0.792,0.9626,10,Alta,Recordatorio suave,0.0,1,WhatsApp,13813.0438,7451,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 14,350 (ref. KB-101654). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-101655,Retail,Financiación retail,Canelones,91-180,175,10490.0,626,0.3,0.4695,4,Media,Plan de cuotas + quita moderada,0.2,6,WhatsApp,3939.7515,10209,0,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 10,490 en 6 cuotas de $U 1,399 con 20% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-101656,Retail,Financiación retail,Flores,31-60,31,22920.0,655,0.756,0.9624,10,Alta,Pago total facilitado,0.05,1,Email,20954.6735,5996,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 22,920. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 21,774. ¿Coordinamos el pago?"
KB-101657,Retail,Tarjeta de crédito,Canelones,1-30,20,5910.0,523,0.447,0.5189,4,Media,Plan de cuotas,0.1,3,WhatsApp,2759.9491,10652,1,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 5,910 en 3 cuotas de $U 1,773 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-101658,Retail,Financiación retail,Maldonado,1-30,1,52790.0,660,0.51,0.9265,9,Alta,Recordatorio suave,0.0,1,WhatsApp,48911.8462,3160,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 52,790 (ref. KB-101658). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-101659,Retail,Tarjeta de crédito,San José,61-90,69,17470.0,463,0.498,0.1418,2,Baja,Quita agresiva por pago único,0.3,1,SMS,1734.1068,11134,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 12,229 (30% de descuento sobre $U 17,470) cancela toda su deuda. Es por tiempo limitado."
KB-101660,Retail,Tarjeta de crédito,Canelones,31-60,43,59330.0,806,0.582,0.9344,9,Alta,Pago total facilitado,0.05,1,WhatsApp,52666.6263,2959,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 59,330. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 56,364. ¿Coordinamos el pago?"
KB-101661,Retail,Préstamo personal,Montevideo,1-30,18,37060.0,635,0.511,0.8271,7,Alta,Recordatorio suave,0.0,1,WhatsApp,30652.9465,4589,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 37,060 (ref. KB-101661). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-101662,Pyme,Financiación retail,San José,31-60,37,76980.0,465,0.809,0.5456,5,Media,Plan de cuotas,0.1,3,Llamada,37798.3568,3913,1,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 76,980 en 3 cuotas de $U 23,094 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-101663,Pyme,Financiación retail,Montevideo,61-90,77,204800.0,590,0.474,0.5531,5,Media,Plan de cuotas,0.1,3,Email,101953.3043,1682,0,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 204,800 en 3 cuotas de $U 61,440 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-101664,Retail,Tarjeta de crédito,Canelones,1-30,26,13480.0,545,0.548,0.5166,4,Media,Plan de cuotas,0.1,3,WhatsApp,6267.7033,9449,1,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 13,480 en 3 cuotas de $U 4,044 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-101665,Pyme,Tarjeta de crédito,Salto,31-60,41,58970.0,496,0.525,0.8193,7,Alta,Pago total facilitado,0.05,1,Email,45899.355,3347,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 58,970. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 56,022. ¿Coordinamos el pago?"
KB-101666,Retail,Préstamo personal,Flores,180+,232,111340.0,416,0.52,0.104,2,Baja,Descuento máximo / cierre de cuenta,0.45,1,WhatsApp,6371.3992,9414,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 61,237 (45% de descuento sobre $U 111,340) cancela toda su deuda. Es por tiempo limitado."
KB-101667,Retail,Préstamo personal,Montevideo,61-90,87,10650.0,599,0.65,0.345,3,Baja,Quita agresiva por pago único,0.3,1,SMS,2572.3417,10737,1,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 7,455 (30% de descuento sobre $U 10,650) cancela toda su deuda. Es por tiempo limitado."
KB-101668,Retail,Tarjeta de crédito,Montevideo,1-30,18,28460.0,565,0.699,0.7482,6,Alta,Recordatorio suave,0.0,1,Llamada,21293.6324,5926,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 28,460 (ref. KB-101668). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-101669,Pyme,Préstamo personal,Montevideo,91-180,151,131820.0,878,0.399,0.9303,9,Alta,Pago total facilitado,0.05,1,SMS,116506.415,1464,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 131,820. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 125,229. ¿Coordinamos el pago?"
KB-101670,Retail,Tarjeta de crédito,Rivera,1-30,25,38660.0,460,0.545,0.6428,5,Media,Plan de cuotas,0.1,3,Email,22365.5151,5758,1,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 38,660 en 3 cuotas de $U 11,598 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-101671,Retail,Préstamo personal,Canelones,91-180,156,61320.0,332,0.63,0.0681,1,Baja,Descuento máximo / cierre de cuenta,0.45,1,Llamada,2297.3052,10860,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 33,726 (45% de descuento sobre $U 61,320) cancela toda su deuda. Es por tiempo limitado."
KB-101672,Retail,Tarjeta de crédito,Montevideo,61-90,82,11010.0,582,0.664,0.717,6,Alta,Pago total facilitado,0.05,1,WhatsApp,7499.6784,9077,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 11,010. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 10,460. ¿Coordinamos el pago?"
KB-101673,Pyme,Financiación retail,Montevideo,180+,242,364850.0,391,0.5,0.0864,1,Baja,Descuento máximo / cierre de cuenta,0.45,1,Llamada,17332.3163,6693,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 200,668 (45% de descuento sobre $U 364,850) cancela toda su deuda. Es por tiempo limitado."
KB-101674,Pyme,Tarjeta de crédito,Montevideo,91-180,133,53190.0,601,0.381,0.6535,5,Alta,Pago total facilitado,0.05,1,WhatsApp,33023.83,4343,0,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 53,190. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 50,530. ¿Coordinamos el pago?"
KB-101675,Pyme,Tarjeta de crédito,Maldonado,61-90,61,269360.0,604,0.576,0.7898,7,Alta,Pago total facilitado,0.05,1,WhatsApp,202109.1782,827,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 269,360. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 255,892. ¿Coordinamos el pago?"
KB-101676,Retail,Tarjeta de crédito,Maldonado,91-180,114,57360.0,555,0.344,0.5063,4,Media,Plan de cuotas + quita moderada,0.2,6,WhatsApp,23233.477,5614,1,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 57,360 en 6 cuotas de $U 7,648 con 20% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-101677,Retail,Tarjeta de crédito,Maldonado,31-60,43,14100.0,423,0.317,0.1984,2,Baja,Quita agresiva por pago único,0.3,1,Llamada,1958.2615,11009,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 9,870 (30% de descuento sobre $U 14,100) cancela toda su deuda. Es por tiempo limitado."
KB-101678,Retail,Préstamo personal,Montevideo,61-90,78,33020.0,527,0.462,0.2762,3,Baja,Quita agresiva por pago único,0.3,1,Email,6385.0836,9406,1,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 23,114 (30% de descuento sobre $U 33,020) cancela toda su deuda. Es por tiempo limitado."
KB-101679,Pyme,Cuenta corriente,San José,61-90,81,79680.0,387,0.674,0.2131,3,Baja,Quita agresiva por pago único,0.3,1,WhatsApp,11885.4566,7911,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 55,776 (30% de descuento sobre $U 79,680) cancela toda su deuda. Es por tiempo limitado."
KB-101680,Retail,Tarjeta de crédito,Río Negro,31-60,35,40730.0,655,0.669,0.8961,8,Alta,Pago total facilitado,0.05,1,SMS,34674.5627,4193,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 40,730. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 38,694. ¿Coordinamos el pago?"
KB-101681,Pyme,Microcrédito,San José,1-30,10,339080.0,732,0.835,0.9491,9,Alta,Recordatorio suave,0.0,1,Llamada,321819.8736,509,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 339,080 (ref. KB-101681). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-101682,Retail,Tarjeta de crédito,Florida,31-60,53,18450.0,621,0.791,0.8948,8,Alta,Pago total facilitado,0.05,1,Email,15682.9719,7037,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 18,450. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 17,528. ¿Coordinamos el pago?"
KB-101683,Pyme,Crédito automotor,Canelones,61-90,80,82830.0,488,0.736,0.1288,2,Baja,Quita agresiva por pago único,0.3,1,Email,7466.5099,9085,1,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 57,981 (30% de descuento sobre $U 82,830) cancela toda su deuda. Es por tiempo limitado."
KB-101684,Retail,Préstamo personal,Montevideo,91-180,165,14310.0,489,0.518,0.1913,2,Baja,Descuento máximo / cierre de cuenta,0.45,1,WhatsApp,1505.6072,11256,1,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 7,871 (45% de descuento sobre $U 14,310) cancela toda su deuda. Es por tiempo limitado."
KB-101685,Retail,Microcrédito,Montevideo,31-60,51,18680.0,484,0.519,0.5983,5,Media,Plan de cuotas,0.1,3,WhatsApp,10059.0812,8380,1,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 18,680 en 3 cuotas de $U 5,604 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-101686,Pyme,Crédito automotor,Maldonado,31-60,48,38270.0,693,0.343,0.9576,10,Alta,Pago total facilitado,0.05,1,WhatsApp,34813.6414,4173,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 38,270. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 36,356. ¿Coordinamos el pago?"
KB-101687,Retail,Tarjeta de crédito,Montevideo,1-30,25,45190.0,557,0.698,0.7192,6,Alta,Recordatorio suave,0.0,1,WhatsApp,32501.1105,4390,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 45,190 (ref. KB-101687). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-101688,Retail,Microcrédito,Canelones,61-90,84,47330.0,610,0.801,0.9218,9,Alta,Pago total facilitado,0.05,1,Llamada,41447.3622,3647,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 47,330. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 44,964. ¿Coordinamos el pago?"
KB-101689,Retail,Préstamo personal,Maldonado,61-90,79,15120.0,437,0.551,0.6047,5,Media,Plan de cuotas,0.1,3,Llamada,8228.7686,8853,1,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 15,120 en 3 cuotas de $U 4,536 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-101690,Pyme,Cuenta corriente,Montevideo,1-30,21,78240.0,548,0.835,0.8858,8,Alta,Recordatorio suave,0.0,1,SMS,69306.0771,2384,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 78,240 (ref. KB-101690). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-101691,Retail,Financiación retail,Lavalleja,1-30,17,21100.0,556,0.388,0.9345,9,Alta,Recordatorio suave,0.0,1,WhatsApp,19718.2008,6212,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 21,100 (ref. KB-101691). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-101692,Corporativo,Préstamo personal,Canelones,61-90,68,1308020.0,679,0.649,0.8514,7,Alta,Pago total facilitado,0.05,1,Llamada,1057912.7768,101,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 1,308,020. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 1,242,619. ¿Coordinamos el pago?"
KB-101693,Pyme,Financiación retail,Maldonado,1-30,5,114320.0,588,0.399,0.7712,6,Alta,Recordatorio suave,0.0,1,Llamada,88162.4396,1917,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 114,320 (ref. KB-101693). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-101694,Corporativo,Cuenta corriente,Paysandú,1-30,13,1267890.0,523,0.757,0.823,7,Alta,Recordatorio suave,0.0,1,Llamada,1043448.2282,105,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 1,267,890 (ref. KB-101694). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-101695,Retail,Préstamo personal,Canelones,31-60,31,19090.0,595,0.606,0.9431,9,Alta,Pago total facilitado,0.05,1,Llamada,17102.9238,6747,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 19,090. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 18,136. ¿Coordinamos el pago?"
KB-101696,Retail,Préstamo personal,Montevideo,91-180,167,30310.0,879,0.32,0.9161,9,Alta,Pago total facilitado,0.05,1,Llamada,26378.5247,5144,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 30,310. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 28,794. ¿Coordinamos el pago?"
KB-101697,Retail,Tarjeta de crédito,Montevideo,1-30,20,26780.0,741,0.619,0.9631,10,Alta,Recordatorio suave,0.0,1,Email,25792.093,5210,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 26,780 (ref. KB-101697). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-101698,Retail,Microcrédito,Montevideo,91-180,128,19520.0,778,0.508,0.9557,10,Alta,Pago total facilitado,0.05,1,Llamada,17723.2082,6615,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 19,520. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 18,544. ¿Coordinamos el pago?"
KB-101699,Retail,Tarjeta de crédito,Montevideo,61-90,64,43790.0,520,0.753,0.4752,4,Media,Plan de cuotas,0.1,3,Llamada,18727.3026,6395,0,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 43,790 en 3 cuotas de $U 13,137 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-101700,Retail,Tarjeta de crédito,Canelones,31-60,48,16550.0,654,0.619,0.8368,7,Alta,Pago total facilitado,0.05,1,Llamada,13155.885,7587,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 16,550. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 15,722. ¿Coordinamos el pago?"
